,zpid,zipcode,yearBuilt,resoFacts.taxAnnualAmount,livingAreaValue,longitude,resoFacts.garageSpaces,schoolMaxRating,latitude,daysOnZillow,resoFacts.isSeniorCommunity,lotAreaValue,bathrooms,resoFacts.hasWaterfrontView,zestimate,schoolMinDistance,bedrooms,price/sqft,cityId_124815,cityId_125641,cityId_13560,cityId_13752,cityId_14563,cityId_19307,cityId_19341,cityId_20367,cityId_25911,cityId_32805,cityId_39760,cityId_398464,cityId_44434,cityId_46375,cityId_51467,cityId_52625,cityId_53787,cityId_56330,cityId_7433,zipcode_32780,zipcode_32796,zipcode_32901,zipcode_32903,zipcode_32904,zipcode_32905,zipcode_32907,zipcode_32908,zipcode_32909,zipcode_32920,zipcode_32922,zipcode_32926,zipcode_32927,zipcode_32931,zipcode_32934,zipcode_32935,zipcode_32937,zipcode_32940,zipcode_32949,zipcode_32950,zipcode_32951,zipcode_32952,zipcode_32953,zipcode_32955,zipcode_32976,price,predPrice_linear,priceDiff_linear,predPrice_RandFor,priceDiff_RandFor,predPrice_XGBoost,priceDiff_XGBoost,predPrice_ensemble,priceDiff_ensemble
20,43393577.0,32927,1985,925.0,1200.0,-80.81714,0.0,3.0,28.474415,1.0,0,10018.8,2.0,0,185000.0,1.5,3.0,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.133507329024972,12.324261815804629,0.19075448677965667,12.267085663840543,0.1335783348155708,12.299978,0.16647092720061352,12.283531960033065,0.15002463100809216
21,43414535.0,32922,1954,1274.0,944.0,-80.75449,1.0,4.0,28.352814,282.0,0,10890.0,2.0,0,173700.0,0.3,3.0,200.21186440677965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.149507585033072,12.247766663021752,0.09825907798867917,12.258860051570764,0.10935246653769148,12.2318,0.08229249431263064,12.245330065458234,0.09582248042516106
22,43511910.0,32909,1984,2622.0,1120.0,-80.655075,1.0,4.0,27.984524,32.0,0,10890.0,2.0,0,189900.0,0.4,3.0,169.55357142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15425816271595,12.424344077829247,0.27008591511329705,12.501674205025878,0.34741604230992884,12.485691,0.331432907840691,12.49368263779126,0.33942447507530993
23,43371508.0,32754,1957,1043.0,748.0,-80.840195,0.0,5.0,28.668123,5.0,0,4792.0,1.0,0,189990.0,1.3,2.0,253.99732620320856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.154731981599651,12.158932349509971,0.004200367910319969,12.065400654392693,-0.08933132720695802,12.049288,-0.10544418557914348,12.0573442252066,-0.09738775639305075
24,43374638.0,32796,1963,2183.0,1104.0,-80.859085,0.0,4.0,28.628666,79.0,0,6098.4,2.0,0,178100.0,0.2,3.0,172.1014492753623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.154784614286667,12.2425505474503,0.08776593316363268,12.346376002473885,0.19159138818721821,12.354349,0.19956452206587194,12.350362569413212,0.19557795512654508
25,43469967.0,32935,1964,494.0,907.0,-80.66339,0.0,3.0,28.120775,49.0,0,6969.6,1.0,0,181800.0,3.2,2.0,214.99448732083792,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.180759965737863,12.238738673675693,0.057978707937829554,12.235836500508908,0.055076534771044905,12.090672,-0.0900884264312225,12.163254019907775,-0.01750594583008791
26,43486655.0,32901,1945,2539.0,1764.0,-80.61184,2.0,2.0,28.081596,60.0,0,10454.0,2.0,0,181600.0,1.8,3.0,110.54421768707483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.180759965737863,12.680178670657162,0.4994187049192984,12.947332335497155,0.7665723697592917,12.771252,0.5904917127289337,12.859292006981976,0.6785320412441127
27,43412596.0,32922,1958,1190.0,860.0,-80.74907,0.0,3.0,28.361523,56.0,0,15245.999999999998,1.0,0,187800.0,1.6,3.0,231.3953488372093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.201065128819632,12.083148810783024,-0.11791631803660785,11.8492399115204,-0.35182521729923266,11.870299,-0.33076578952519853,11.859769625407417,-0.3412955034122156
28,43513482.0,32909,1983,533.0,1280.0,-80.64499,1.0,8.0,27.970984,8.0,0,20037.599999999995,2.0,0,194700.0,1.9,3.0,155.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.201065128819632,12.54971092344299,0.34864579462335854,12.49576136633382,0.29469623751418794,12.534336,0.3332709612682585,12.515048728210855,0.3139835993912232
29,43497505.0,32905,1969,2550.0,1328.0,-80.58236,0.0,3.0,28.014666,13.0,0,7405.2,2.0,0,199900.0,1.0,4.0,150.52710843373495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.20557752297723,12.297983780319381,0.09240625734215158,12.171028229177207,-0.034549293800022696,12.29744,0.09186205221808308,12.23423390218626,0.02865637920903019
