,zpid,homeType,homeStatus,daysOnZillow,priceOutlier,listPrice,streetAddress,zipcode,yearBuilt,bedrooms,bathrooms,livingAreaValue,livingAreaUnits,lotAreaValue,lotAreaUnits,zestimate,latitude,longitude,favoriteCount,pageViewCount,newConstructionType,resoFacts.associationFee,listingSubType.isForeclosure,resoFacts.isSeniorCommunity,resoFacts.propertySubType,hdpUrl,taxAssessedValue,cityId,rentZestimate,restimateHighPercent,restimateLowPercent,mortgageRates.thirtyYearFixedRate,mortgageRates.fifteenYearFixedRate,mortgageRates.arm5Rate,resoFacts.garageSpaces,resoFacts.hasAdditionalParcels,resoFacts.hasAssociation,resoFacts.hasAttachedGarage,resoFacts.hasAttachedProperty,resoFacts.hasGarage,resoFacts.hasPrivatePool,resoFacts.hasSpa,resoFacts.hasView,resoFacts.hasWaterfrontView,resoFacts.taxAnnualAmount,resoFacts.waterViewYN,price/sqft,schoolMaxRating,schoolMinDistance
20,54621122,SINGLE_FAMILY,FOR_SALE,1,0,189500.0,245 Kiwi Dr,32976,1987,2.0,2.0,1152.0,Square Feet,3920.4,Square Feet,186800.0,27.87438,-80.51654,1.0,38.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/245-Kiwi-Dr-Barefoot-Bay-FL-32976/54621122_zpid/,135120.0,19341.0,1749.0,7.0,20.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,True,False,2712.0,False,164.49652777777777,6.0,7.1
21,43376826,SINGLE_FAMILY,FOR_SALE,90,0,189900.0,606 Rock Pit Rd,32796,1956,3.0,1.0,1130.0,Square Feet,9583.0,Square Feet,176900.0,28.608517,-80.82302,101.0,1280.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/606-Rock-Pit-Rd-Titusville-FL-32796/43376826_zpid/,69360.0,7433.0,1410.0,25.0,17.0,5.874,5.573,5.792,0.0,False,False,False,False,False,False,False,False,False,950.0,False,168.05309734513276,3.0,2.5
22,43511910,SINGLE_FAMILY,FOR_SALE,10,1,189900.0,670 Bluefields St SE,32909,1984,3.0,2.0,1120.0,Square Feet,10890.0,Square Feet,189900.0,27.984524,-80.655075,293.0,4256.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/670-Bluefields-St-SE-Palm-Bay-FL-32909/43511910_zpid/,175770.0,53787.0,1800.0,5.0,6.0,5.874,5.573,5.792,1.0,False,False,True,False,True,False,False,False,False,2622.0,False,169.55357142857142,4.0,0.4
23,43413843,SINGLE_FAMILY,FOR_SALE,9,0,190000.0,2460 Victor Rd,32926,1964,3.0,2.0,1066.0,Square Feet,7840.8,Square Feet,188400.0,28.364336,-80.769135,77.0,1325.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2460-Victor-Rd-Cocoa-FL-32926/43413843_zpid/,116360.0,10889.0,1800.0,8.0,7.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1646.0,False,178.23639774859288,3.0,1.3
24,43469967,SINGLE_FAMILY,FOR_SALE,27,0,195000.0,853 Osage Ave,32935,1964,2.0,1.0,907.0,Square Feet,6969.6,Square Feet,182100.0,28.120775,-80.66339,107.0,2195.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/853-Osage-Ave-Melbourne-FL-32935/43469967_zpid/,168850.0,19307.0,1662.0,9.0,13.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,494.0,False,214.99448732083792,6.0,1.3
25,43414842,SINGLE_FAMILY,FOR_SALE,67,0,199000.0,500 S Fiske Blvd,32922,1955,3.0,1.0,934.0,Square Feet,7405.2,Square Feet,187500.0,28.352842,-80.742134,88.0,1215.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/500-S-Fiske-Blvd-Cocoa-FL-32922/43414842_zpid/,82630.0,10889.0,1674.0,8.0,10.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1402.0,False,213.06209850107066,3.0,0.4
26,43371928,SINGLE_FAMILY,FOR_SALE,31,0,199900.0,2177 Watts Dr,32754,1981,3.0,1.0,984.0,Square Feet,7405.2,Square Feet,188300.0,28.657824,-80.86405,51.0,1005.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2177-Watts-Dr-Mims-FL-32754/43371928_zpid/,150600.0,25911.0,1774.0,5.0,10.0,5.874,5.573,5.792,1.0,True,False,False,False,True,False,False,False,False,2132.0,False,203.15040650406505,5.0,1.2
27,43468988,SINGLE_FAMILY,FOR_SALE,112,0,199900.0,1399 Lillian Ln,32935,1961,3.0,2.0,1142.0,Square Feet,6534.0,Square Feet,186100.0,28.129627,-80.66017,78.0,1251.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1399-Lillian-Ln-Melbourne-FL-32935/43468988_zpid/,191550.0,19307.0,1769.0,9.0,5.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1665.0,False,175.04378283712785,4.0,0.8
28,43493145,SINGLE_FAMILY,FOR_SALE,36,0,199900.0,205 Prince Ave,32901,1967,4.0,2.0,1444.0,Square Feet,7405.2,Square Feet,187600.0,28.046734,-80.617485,184.0,3164.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/205-Prince-Ave-Melbourne-FL-32901/43493145_zpid/,174630.0,19307.0,2100.0,19.0,14.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1388.0,False,138.4349030470914,3.0,1.4
29,43383274,SINGLE_FAMILY,FOR_SALE,25,0,199999.0,4490 Darden Ave,32780,1960,2.0,1.0,704.0,Square Feet,7405.2,Square Feet,187800.0,28.56023,-80.82003,16.0,622.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/4490-Darden-Ave-Titusville-FL-32780/43383274_zpid/,134980.0,7433.0,1200.0,12.0,5.0,5.874,5.573,5.792,0.0,True,False,False,False,False,False,False,False,False,1954.0,False,284.0894886363636,6.0,0.6
