,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zipcode,zpid,listing_sub_type.is_newHome,zestimate,listing_sub_type.is_FSBA,listing_sub_type.is_comingSoon,datePriceChanged,group_type,priceChange,priceReduction,priceSuffix,providerListingID,unit,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,listing_sub_type.is_bankOwned
401,2.0,4.0,Satellite Beach,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9a619c2c67189897e2036d47da93cd86-p_e.jpg,False,True,False,False,False,False,False,28.174496,2251.0,-80.60235,acres,0.27999999999999997,,578964.0,578964.0,3535.0,False,FL,550 Glenwood Ave,518410.0,844517000.0,32937,43452603,,567800.0,True,,1707379200000.0,,-9000.0,"$9,000 (Feb 8)",,,,,Sun. 12-3pm,True,"[{'open_house_end': 1707692400000, 'open_house_start': 1707681600000}]",
402,2.0,3.0,Titusville,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e64365f02eb26ea1bfb14d82184a6232-p_e.jpg,False,True,False,False,False,False,False,28.587067,1627.0,-80.80823,sqft,7840.8,,407785.0,407785.0,2334.0,False,FL,648 Macon Dr,250140.0,844517000.0,32780,71026021,,396700.0,True,,,,,,,,,,,,,
403,3.0,4.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/08c4cf409c72fa66054f40680770ab75-p_e.jpg,False,True,False,False,False,False,False,27.992722,1972.0,-80.66098,acres,0.51,,449900.0,449900.0,2328.0,False,FL,321 Eldron Blvd SE,379550.0,845573000.0,32909,71024066,,448600.0,True,,,,,,,,,,,,,
404,2.0,4.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e160e8d0e1b7040d8d9e280104d26008-p_e.jpg,False,True,False,False,False,False,False,27.981646,1787.0,-80.711525,sqft,10018.8,BUILDER_SPEC,369900.0,369900.0,1886.0,False,FL,1381 Seabreeze St SW,22000.0,846100000.0,32908,104090349,True,353600.0,,,,,,,,,,,,,,
405,4.0,4.0,Titusville,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3bcdb3a35dbc64167ab4bc0b78699fc6-p_e.jpg,False,True,False,False,False,False,False,28.547855,2598.0,-80.7931,acres,0.29,,1300000.0,1300000.0,4374.0,False,FL,5250 Riveredge Dr,682800.0,846664000.0,32780,251162869,,1265600.0,True,,,,,,,,,,,,,
406,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bea68364d415e31493713d94b968df5b-p_e.jpg,False,True,False,False,False,False,False,28.015402,1722.0,-80.66468,acres,0.42000000000000004,,425000.0,425000.0,,False,FL,318 Peggy Cir NE,331180.0,847083000.0,32907,43501247,,,True,,1707379200000.0,,-15000.0,"$15,000 (Feb 8)",,,,,,,,
407,2.0,4.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e160e8d0e1b7040d8d9e280104d26008-p_e.jpg,False,True,False,False,False,False,False,28.008123,1787.0,-80.69812,sqft,10018.8,BUILDER_SPEC,369900.0,369900.0,1877.0,False,FL,434 Goldsmith Ave NW,34000.0,848738000.0,32907,104153576,True,355800.0,,,,,,,,,,,,,,
408,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e9cbb5dff982f13f24d28d6335993145-p_e.jpg,False,True,False,False,False,False,False,28.127836,1372.0,-80.661545,sqft,8276.4,,334900.0,334900.0,2064.0,False,FL,2420 Colony Dr,247160.0,848799000.0,32935,43469676,,323900.0,True,,1705305600000.0,,-25000.0,"$25,000 (Jan 15)",,,,,,,,
409,2.0,3.0,Melbourne,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/675f5146926a611ab13ba1b9bfb3113f-p_e.jpg,False,True,False,False,False,False,False,28.15134,1832.0,-80.67992,acres,0.26,,500000.0,500000.0,2450.0,False,FL,2612 Nobility Ave,338640.0,853598000.0,32934,43455306,,498800.0,,True,,,,,,,,,,,,
410,2.0,3.0,Palm Bay,USA,USD,9,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d78df70ff2151c4cf396e2254268b9ab-p_e.jpg,False,True,False,False,False,False,False,28.002396,1738.0,-80.70474,sqft,6534.0,,354900.0,354900.0,2062.0,False,FL,1526 Mineral Loop Dr NW,285050.0,853599000.0,32907,339805555,,347100.0,True,,,,,,,,,,,,,
