,zpid,homeType,homeStatus,dateSoldString,daysOnZillow,priceOutlier,price,streetAddress,zipcode,yearBuilt,bathrooms,bedrooms,livingAreaValue,livingAreaUnits,lotAreaValue,lotAreaUnits,zestimate,latitude,longitude,favoriteCount,pageViewCount,newConstructionType,resoFacts.associationFee,listingSubType.isForeclosure,resoFacts.isSeniorCommunity,resoFacts.propertySubType,hdpUrl,taxAssessedValue,cityId,rentZestimate,restimateHighPercent,restimateLowPercent,mortgageRates.thirtyYearFixedRate,mortgageRates.fifteenYearFixedRate,mortgageRates.arm5Rate,resoFacts.garageSpaces,resoFacts.hasAdditionalParcels,resoFacts.hasAssociation,resoFacts.hasAttachedGarage,resoFacts.hasAttachedProperty,resoFacts.hasGarage,resoFacts.hasPrivatePool,resoFacts.hasSpa,resoFacts.hasView,resoFacts.hasWaterfrontView,resoFacts.taxAnnualAmount,resoFacts.waterViewYN,price/sqft,schoolMaxRating,schoolMinDistance
20,43390880,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-05,9,0,225000.0,7175 Kaylor Ave,32927,1988,2.0,3.0,1210.0,Square Feet,10454.4,Square Feet,225000.0,28.484196,-80.811966,5.0,218.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/7175-Kaylor-Ave-Cocoa-FL-32927/43390880_zpid/,214210.0,10889.0,1962.0,10.0,7.0,6.068,5.904,5.783,2.0,True,False,False,False,True,False,False,True,False,850.0,False,185.9504132231405,8.0,0.9
21,43430872,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-05,9,0,250000.0,961 Bartlett Ln,32955,1966,2.0,3.0,1295.0,Square Feet,8712.0,Square Feet,250200.0,28.313778,-80.73519,0.0,85.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/961-Bartlett-Ln-Rockledge-FL-32955/43430872_zpid/,201890.0,13560.0,2078.0,9.0,7.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,1733.0,False,193.05019305019306,4.0,0.6
22,43467534,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-05,9,0,132400.0,2138 Cherrywood Dr,32935,1980,2.0,3.0,1347.0,Square Feet,7840.0,Square Feet,287300.0,28.141949,-80.642586,0.0,7.0,False,0.0,False,False,nan,www.zillow.com/homedetails/2138-Cherrywood-Dr-Melbourne-FL-32935/43467534_zpid/,236340.0,19307.0,2057.0,8.0,8.0,6.068,5.904,5.783,0.0,False,False,False,False,False,False,False,False,False,2139.0,False,98.29250185597624,4.0,0.7
23,43476062,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-05,9,0,120000.0,904 Wisteria Dr,32901,1956,1.5,3.0,1100.0,Square Feet,8276.0,Square Feet,203800.0,28.09406,-80.61498,0.0,0.0,False,0.0,False,False,nan,www.zillow.com/homedetails/904-Wisteria-Dr-Melbourne-FL-32901/43476062_zpid/,145000.0,19307.0,1800.0,17.0,8.0,5.99,5.958,6.562,0.0,False,False,False,False,False,False,False,False,False,421.0,False,109.0909090909091,5.0,0.4
24,54620408,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-05,9,0,248000.0,3112 Troon Ave SE,32909,1987,2.0,3.0,1432.0,Square Feet,12632.4,Square Feet,248000.0,27.916533,-80.64792,1.0,98.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/3112-Troon-Ave-SE-Palm-Bay-FL-32909/54620408_zpid/,199710.0,53787.0,1949.0,13.0,8.0,6.068,5.904,5.783,2.0,True,False,False,False,True,False,False,False,False,652.0,False,173.18435754189943,6.0,1.5
25,43375447,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,183500.0,2937 Cooper Dr,32796,1965,2.0,3.0,1266.0,Square Feet,7405.2,Square Feet,183600.0,28.62809,-80.8416,19.0,380.0,False,0.0,True,False,Single Family Residence,www.zillow.com/homedetails/2937-Cooper-Dr-Titusville-FL-32796/43375447_zpid/,162450.0,7433.0,1795.0,6.0,6.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,2531.0,False,144.94470774091627,3.0,0.7
26,43402394,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,223000.0,2571 Stratford Dr,32926,1964,2.0,3.0,962.0,Square Feet,7405.2,Square Feet,223100.0,28.366735,-80.77382,1.0,73.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/2571-Stratford-Dr-Cocoa-FL-32926/43402394_zpid/,110930.0,10889.0,1650.0,8.0,9.0,6.068,5.904,5.783,0.0,True,False,False,False,False,False,False,False,False,1496.0,False,231.8087318087318,3.0,1.2
27,43402661,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,89500.0,5300 Lake Poinsett Rd,32926,1959,1.0,1.0,688.0,Square Feet,137649.0,Square Feet,213000.0,28.35527,-80.80801,0.0,1.0,False,0.0,False,False,nan,www.zillow.com/homedetails/5300-Lake-Poinsett-Rd-Cocoa-FL-32926/43402661_zpid/,152230.0,10889.0,1200.0,17.0,5.0,5.99,5.958,6.562,0.0,False,False,False,False,False,False,False,False,False,2041.0,False,130.0872093023256,3.0,2.6
28,43403175,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,197000.0,410 Lincoln Rd,32926,1960,1.0,3.0,825.0,Square Feet,6098.4,Square Feet,197200.0,28.35562,-80.7891,1.0,80.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/410-Lincoln-Rd-Cocoa-FL-32926/43403175_zpid/,87650.0,10889.0,1300.0,28.0,10.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,1559.0,False,238.78787878787878,3.0,1.6
29,43417726,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,250000.0,1245 Arlington Cir,32952,1977,2.0,3.0,1273.0,Square Feet,11324.999999999998,Square Feet,289400.0,28.400156,-80.674,0.0,37.0,False,0.0,False,False,nan,www.zillow.com/homedetails/1245-Arlington-Cir-Merritt-Island-FL-32952/43417726_zpid/,273780.0,39760.0,2350.0,19.0,11.0,6.068,5.904,5.783,0.0,False,False,False,False,False,False,False,False,False,1394.0,False,196.38648860958367,6.0,2.2
30,43443807,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,215000.0,7989 Bradwick Way,32940,1996,2.0,4.0,2804.0,Square Feet,13068.0,Square Feet,743000.0,28.222166,-80.704,0.0,5.0,False,0.0,False,False,nan,www.zillow.com/homedetails/7989-Bradwick-Way-Melbourne-FL-32940/43443807_zpid/,637200.0,19307.0,4249.0,24.0,20.0,6.068,5.904,5.783,0.0,False,True,False,False,False,False,False,False,False,10767.0,False,76.67617689015692,8.0,2.9
31,43470272,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,200000.0,500 Sacre Coeur Dr,32935,1973,2.0,4.0,1812.0,Square Feet,9583.0,Square Feet,369900.0,28.11493,-80.66773,0.0,6.0,False,0.0,False,False,nan,www.zillow.com/homedetails/500-Sacre-Coeur-Dr-Melbourne-FL-32935/43470272_zpid/,318750.0,19307.0,2199.0,9.0,10.0,6.068,5.904,5.783,0.0,False,False,False,False,False,False,False,False,False,2063.0,False,110.37527593818984,6.0,1.7
32,54615666,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-02,12,0,249000.0,1935 Fillmore Ave,32935,1958,1.0,3.0,1032.0,Square Feet,7840.8,Square Feet,249100.0,28.127338,-80.652565,2.0,70.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1935-Fillmore-Ave-Melbourne-FL-32935/54615666_zpid/,181940.0,19307.0,1800.0,6.0,11.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,551.0,False,241.27906976744185,4.0,0.5
33,43370911,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-01,13,0,80000.0,3530 Kelly Rd,32754,1957,2.0,3.0,1191.0,Square Feet,6969.0,Square Feet,167400.0,28.67457,-80.85319,0.0,16.0,False,0.0,False,False,nan,www.zillow.com/homedetails/3530-Kelly-Rd-Mims-FL-32754/43370911_zpid/,108050.0,25911.0,1889.0,21.0,9.0,5.99,5.958,6.562,0.0,False,False,False,False,False,False,False,False,False,697.0,False,67.17044500419816,5.0,0.6
34,43376284,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-01,13,0,85000.0,1011 English St,32796,1958,1.0,2.0,1072.0,Square Feet,7840.0,Square Feet,183600.0,28.617062,-80.815346,0.0,30.0,False,0.0,False,False,nan,www.zillow.com/homedetails/1011-English-St-Titusville-FL-32796/43376284_zpid/,123820.0,7433.0,1657.0,19.0,16.0,5.99,5.958,6.562,0.0,False,False,False,False,False,False,False,False,False,997.0,False,79.2910447761194,5.0,2.4
35,43402233,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-01,13,0,215000.0,651 N Range Rd,32926,1947,2.0,2.0,1333.0,Square Feet,14374.799999999996,Square Feet,215100.0,28.365774,-80.77177,4.0,129.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/651-N-Range-Rd-Cocoa-FL-32926/43402233_zpid/,183630.0,10889.0,1999.0,15.0,15.0,6.068,5.904,5.783,3.0,True,False,False,False,True,False,False,False,False,1960.0,False,161.29032258064515,3.0,1.2
36,43496663,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-01,4,0,220000.0,3266 Edgewood Dr NE,32905,1973,2.0,3.0,1313.0,Square Feet,9583.2,Square Feet,282100.0,28.01281,-80.574585,16.0,444.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/3266-Edgewood-Dr-NE-Palm-Bay-FL-32905/43496663_zpid/,211860.0,53787.0,1800.0,10.0,6.0,6.714,6.051,6.953,0.0,True,False,False,False,False,False,False,False,False,1400.0,False,167.55521706016756,3.0,3.6
37,54620184,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-01,13,1,150000.0,609 Seven Gables Cir SE,32909,1986,2.0,3.0,1500.0,Square Feet,14373.999999999996,Square Feet,285700.0,27.967577,-80.65485,0.0,3.0,False,0.0,False,False,nan,www.zillow.com/homedetails/609-Seven-Gables-Cir-SE-Palm-Bay-FL-32909/54620184_zpid/,236320.0,53787.0,1999.0,19.0,10.0,6.068,5.904,5.783,0.0,False,False,False,False,False,False,False,False,False,3979.0,False,100.0,4.0,1.1
38,80766748,SINGLE_FAMILY,RECENTLY_SOLD,2024-02-01,13,0,165000.0,1504 Belleview Rd,32922,2006,2.0,3.0,1178.0,Square Feet,5662.8,Square Feet,165100.0,28.364555,-80.75329,2.0,113.0,False,0.0,False,False,Single Family Residence,www.zillow.com/homedetails/1504-Belleview-Rd-Cocoa-FL-32922/80766748_zpid/,118380.0,10889.0,1949.0,13.0,13.0,6.068,5.904,5.783,1.0,True,False,False,False,True,False,False,False,False,1697.0,False,140.0679117147708,2.0,1.4
